session_id,user_id,session_date,country,device_type,subscription_plan,content_id,content_title,content_genre,watch_minutes,ad_impressions,ad_clicks,ad_completions,ad_revenue
S00118,U1397,2/10/2026,US,Mobile,Ad Supported,C0102,The Diplomat,Comedy,46,1,1,1,0.0203
S00119,U1855,2/9/2026,US,Mobile,Ad Supported,C0107,The Night Agent,Action,22,2,1,2,0.0802
S00120,U0526,2/5/2026,US,Mobile,Ad Supported,C0052,Inside Job,Comedy,56,3,2,3,0.0552
S00121,U0785,3/5/2026,US,Mobile,Ad Supported,C0126,Delicious in Dungeon,Action,31,1,0,1,0.0427
S00122,U0853,2/18/2026,US,TV,Ad Supported,C0130,Vladimir,Comedy,75,4,2,2,0.1352
S00123,U2051,3/7/2026,US,Mobile,Ad Supported,C0123,Tires,Comedy,54,2,1,1,0.0779
S00124,U1076,3/9/2026,US,TV,Ad Supported,C0143,Boyfriend on Demand,Comedy,100,4,2,2,0.1185
S00125,U0561,2/23/2026,US,TV,Ad Supported,C0057,Inside Job,Comedy,84,5,0,4,0.1344
S00126,U0617,3/11/2026,US,Mobile,Ad Supported,C0116,One Piece,Action,98,3,2,2,0.1013
S00127,U1811,1/20/2026,US,TV,Ad Supported,C0118,Age of Attraction,Reality,154,8,1,7,0.194
S00128,U0195,1/28/2026,CA,Web,Ad Supported,C0024,Beef,Action,109,5,1,4,0.2202
S00129,U1624,1/27/2026,US,TV,Ad Supported,C0144,Jurassic World Rebirth,Action,31,2,2,1,0.0434
S00130,U0375,1/16/2026,US,TV,Ad Supported,C0100,Supacell,Action,87,5,0,3,0.1343
S00131,U1931,2/21/2026,US,Mobile,Ad Supported,C0111,Supacell,Action,24,3,0,1,0.0489
S00132,U0931,3/10/2026,US,Web,Ad Supported,C0032,Ranma 1/2,Comedy,17,2,2,2,0.076
S00133,U1118,1/21/2026,UK,TV,Ad Supported,C0034,Beef,Action,51,3,0,2,0.0516
S00134,U1973,2/14/2026,US,Mobile,Ad Supported,C0070,Seinfeld,Reality,86,3,0,1,0.1018
S00135,U1545,2/12/2026,US,TV,Ad Supported,C0134,One Piece,Action,56,3,2,2,0.1201
S00136,U0399,1/14/2026,US,TV,Ad Supported,C0003,One Piece,Action,50,1,1,0,0.015
S00137,U2116,3/11/2026,US,TV,Ad Supported,C0030,KPop Demon Hunters,Action,167,5,0,4,0.1752
S00138,U1179,1/20/2026,UK,Mobile,Ad Supported,C0099,Inside Job,Comedy,62,4,0,4,0.0715
S00139,U2018,2/23/2026,UK,Web,Ad Supported,C0041,Boyfriend on Demand,Comedy,131,6,1,5,0.1792
S00140,U0567,2/16/2026,US,TV,Ad Supported,C0001,Age of Attraction,Reality,72,3,2,2,0.0569
S00141,U1121,1/18/2026,US,Mobile,Ad Supported,C0048,Derry Girls,Kids,28,3,1,1,0.1035
S00142,U0332,1/18/2026,UK,TV,Ad Supported,C0019,Emily in Paris,Reality,110,4,2,2,0.0799
S00143,U2035,1/22/2026,US,Tablet,Ad Supported,C0009,Tires,Comedy,62,3,2,3,0.0695
S00144,U0231,3/4/2026,US,Tablet,Ad Supported,C0030,Age of Attraction,Reality,59,3,2,2,0.0757
S00145,U0478,2/3/2026,US,TV,Ad Supported,C0046,KPop Demon Hunters,Action,55,2,0,0,0.0849
S00146,U1477,1/28/2026,US,TV,Ad Supported,C0134,Ranma 1/2,Comedy,102,6,0,5,0.1398
S00147,U1965,2/26/2026,UK,Tablet,Ad Supported,C0141,Seinfeld,Reality,44,1,1,1,0.0273
S00148,U0283,3/10/2026,AU,Mobile,Ad Supported,C0067,Supacell,Action,34,1,1,1,0.0211
S00149,U0572,3/13/2026,US,TV,Ad Supported,C0052,Jurassic World Rebirth,Action,142,6,2,5,0.188
S00150,U0506,2/1/2026,US,Mobile,Ad Supported,C0137,Supacell,Action,35,1,1,0,0.0353
S00151,U0174,1/19/2026,US,Web,Ad Supported,C0101,Brooklyn Nine-Nine,Reality,95,4,2,2,0.1019
S00152,U0418,1/14/2026,UK,TV,Ad Supported,C0142,The Dinosaurs,Documentary,97,4,2,3,0.1189
S00153,U2437,1/12/2026,US,Mobile,Ad Supported,C0008,Beef,Action,114,5,2,4,0.2015
S00154,U1463,2/15/2026,BR,TV,Ad Supported,C0009,Beef,Action,34,1,0,0,0.0401
S00155,U0215,3/11/2026,US,Mobile,Ad Supported,C0032,Tires,Comedy,58,3,1,3,0.0525
S00156,U0386,1/31/2026,US,TV,Ad Supported,C0086,Supacell,Action,145,8,0,8,0.3021
S00157,U1577,1/13/2026,CA,TV,Ad Supported,C0096,Age of Attraction,Reality,73,6,2,4,0.1784
S00158,U2167,1/19/2026,AU,Web,Ad Supported,C0102,A Man on the Inside,Comedy,135,8,0,7,0.2676
S00159,U0874,3/7/2026,AU,Mobile,Ad Supported,C0101,The Diplomat,Comedy,115,5,1,4,0.1456
S00160,U1264,3/5/2026,BR,Mobile,Ad Supported,C0035,Trap House,Action,68,4,2,2,0.1339
S00161,U1560,2/14/2026,US,Web,Ad Supported,C0087,The Ranch,Comedy,23,2,0,2,0.0855
S00162,U1072,1/15/2026,AU,Mobile,Ad Supported,C0083,The Night Agent,Action,86,4,2,2,0.0654
S00163,U0531,1/29/2026,US,TV,Ad Supported,C0002,Emily in Paris,Reality,74,4,1,3,0.1228
S00164,U0818,1/29/2026,CA,Web,Ad Supported,C0004,Age of Attraction,Reality,126,5,0,4,0.1234
S00165,U1362,2/12/2026,US,TV,Ad Supported,C0072,Emily in Paris,Reality,105,3,0,3,0.1133
S00166,U0860,1/13/2026,CA,Web,Ad Supported,C0108,Queen of Tears,Action,39,1,1,1,0.0241
S00167,U2132,1/15/2026,US,TV,Ad Supported,C0109,Boyfriend on Demand,Comedy,93,3,0,1,0.0682
S00168,U1088,2/15/2026,UK,Mobile,Ad Supported,C0025,Jurassic World Rebirth,Action,80,6,1,5,0.1567
S00169,U0507,3/8/2026,CA,Mobile,Ad Supported,C0121,Inside Job,Comedy,37,3,1,3,0.0912
S00170,U1107,2/16/2026,US,Mobile,Ad Supported,C017,Sakamoto Days,Action,47,1,0,1,0.043
S00171,U0289,2/9/2026,US,TV,Ad Supported,C0069,War Machine,Action,149,7,0,5,0.1733
S00172,U1427,1/16/2026,AU,Mobile,Ad Supported,C0021,Tires,Comedy,77,6,0,6,0.1334
S00173,U2494,1/20/2026,US,TV,Ad Supported,C0061,Queen of Tears,Action,83,6,1,6,0.2486
S00174,U1306,2/8/2026,US,TV,Ad Supported,C0085,Ranma 1/2,Comedy,116,3,1,2,0.0848
S00175,U2419,3/6/2026,UK,TV,Ad Supported,C0110,Derry Girls,Kids,48,4,0,4,0.1282
S00176,U0393,1/25/2026,US,Tablet,Ad Supported,C0061,Queen of Tears,Action,16,1,0,1,0.0195
S00177,U2360,2/25/2026,US,Mobile,Ad Supported,C0096,Inside Job,Comedy,39,3,2,2,0.1266
S00178,U2284,1/27/2026,US,TV,Ad Supported,C017,Sakamoto Days,Action,136,8,2,6,0.2083
S00179,U0450,2/7/2026,US,TV,Ad Supported,C0037,Beef,Action,30,2,0,1,0.0484
S00180,U0054,2/23/2026,UK,Mobile,Ad Supported,C0035,Age of Attraction,Reality,66,3,2,2,0.0676
S00181,U2056,1/18/2026,US,Web,Ad Supported,C0024,Seinfeld,Reality,104,4,1,2,0.1017
S00182,U0428,2/13/2026,US,Mobile,Ad Supported,C0055,Supacell,Action,101,6,0,5,0.1661
S00183,U0958,2/23/2026,UK,Web,Ad Supported,C0127,Supacell,Action,76,3,2,1,0.0845
S00184,U1516,2/14/2026,US,TV,Ad Supported,C0020,Bridgerton,Drama,159,8,2,6,0.2399
S00185,U1418,2/11/2026,US,TV,Ad Supported,C0055,Boyfriend on Demand,Comedy,46,2,2,1,0.0792
S00186,U1233,1/27/2026,CA,Mobile,Ad Supported,C0100,Magic and Muscles,Drama,59,1,1,0,0.0444
S00187,U1574,1/20/2026,US,TV,Ad Supported,C0136,Magic and Muscles,Drama,158,8,0,8,0.3338
S00188,U0940,1/26/2026,US,TV,Ad Supported,C0123,Ranma 1/2,Comedy,66,4,1,2,0.0831
S00189,U0436,2/14/2026,US,Mobile,Ad Supported,C0039,Seinfeld,Reality,117,4,2,4,0.1683
S00190,U1435,1/13/2026,US,TV,Ad Supported,C0023,Emily in Paris,Reality,34,1,0,0,0.0313
S00191,U1524,1/30/2026,US,Mobile,Ad Supported,C0035,Boyfriend on Demand,Comedy,77,3,0,2,0.1147
S00192,U2460,2/8/2026,BR,Mobile,Ad Supported,C0031,Tires,Comedy,54,4,1,2,0.1141
S00193,U0773,1/18/2026,US,Mobile,Ad Supported,C0002,Inside Job,Comedy,17,2,2,0,0.0843
S00194,U0581,2/6/2026,US,Web,Ad Supported,C0098,The Ranch,Comedy,114,3,2,1,0.1335
S00195,U2103,2/3/2026,US,TV,Ad Supported,C0146,Tires,Comedy,104,4,0,2,0.0814
S00196,U1335,2/9/2026,US,Mobile,Ad Supported,C0040,Trap House,Action,54,2,2,0,0.0365
S00197,U2288,2/18/2026,CA,TV,Ad Supported,C017,Sakamoto Days,Action,57,4,2,2,0.1054
S00198,U1337,3/10/2026,BR,Mobile,Ad Supported,C0121,Supacell,Action,31,3,1,1,0.0662
S00199,U0759,1/18/2026,US,TV,Ad Supported,C0018,The Diplomat,Comedy,48,1,1,1,0.0373
S00200,U1602,1/25/2026,CA,Mobile,Ad Supported,C0066,Queen of Tears,Action,91,4,0,2,0.1536
S00201,U1579,2/26/2026,AU,Web,Ad Supported,C0116,Queen of Tears,Action,61,4,1,4,0.1336
S00202,U1665,2/28/2026,US,Web,Ad Supported,C0080,Queen of Tears,Action,126,7,2,7,0.1553
S00203,U1597,1/25/2026,UK,Mobile,Ad Supported,C0096,Magic and Muscles,Drama,65,4,2,4,0.1621
S00204,U0085,1/12/2026,US,Tablet,Ad Supported,C0123,BoJack Horseman,Comedy,71,6,2,6,0.1229
S00205,U1099,2/1/2026,US,TV,Ad Supported,C0079,The Diplomat,Comedy,26,4,1,4,0.105
S00206,U1934,2/3/2026,US,TV,Ad Supported,C0118,Ranma 1/2,Comedy,93,5,0,4,0.1626
S00207,U2321,3/7/2026,UK,TV,Ad Supported,C0112,The Night Agent,Action,164,6,2,6,0.1507
S00208,U0147,1/19/2026,CA,TV,Ad Supported,C0072,Ranma 1/2,Comedy,117,3,2,1,0.0593
S00209,U1109,1/14/2026,US,Mobile,Ad Supported,C0104,Boyfriend on Demand,Comedy,10,0,0,0,0
S00210,U1006,3/2/2026,BR,Web,Ad Supported,C017,Sakamoto Days,Action,118,5,0,5,0.1352
S00211,U2112,2/28/2026,AU,Web,Ad Supported,C0133,A Man on the Inside,Comedy,79,4,1,4,0.0806
S00212,U1266,2/23/2026,CA,TV,Ad Supported,C0147,Inside Job,Comedy,169,8,2,8,0.2629
S00213,U1401,2/18/2026,US,Mobile,Ad Supported,C0024,A Man on the Inside,Comedy,66,5,1,5,0.0802
S00214,U0130,1/13/2026,AU,Mobile,Ad Supported,C017,Sakamoto Days,Action,58,4,1,2,0.171
S00215,U0723,2/21/2026,US,Mobile,Ad Supported,C0136,The Ranch,Comedy,41,2,0,2,0.0396
S00216,U1770,1/30/2026,CA,Web,Ad Supported,C017,Sakamoto Days,Action,129,7,1,6,0.1281
S00217,U0905,2/24/2026,UK,Mobile,Ad Supported,C0090,Vladimir,Comedy,46,2,1,2,0.0449
S00218,U0422,1/21/2026,US,Mobile,Ad Supported,C0034,Queen of Tears,Action,71,4,0,2,0.1347
S00219,U2225,2/20/2026,US,TV,Ad Supported,C0019,Ranma 1/2,Comedy,108,4,0,4,0.0988
S00220,U0086,2/21/2026,CA,Web,Ad Supported,C0099,The Night Agent,Action,25,2,2,0,0.0801
S00221,U0003,2/27/2026,US,TV,Ad Supported,C0117,Tires,Comedy,119,6,2,4,0.2403
S00222,U0728,2/23/2026,UK,Mobile,Ad Supported,C0105,The Dinosaurs,Documentary,69,5,2,5,0.1458
S00223,U0623,2/27/2026,US,Mobile,Ad Supported,C0020,Vladimir,Comedy,78,3,0,1,0.054
S00224,U1893,2/5/2026,US,Tablet,Ad Supported,C0082,Vladimir,Comedy,14,0,0,0,0
S00225,U1487,3/10/2026,US,Mobile,Ad Supported,C0040,Bridgerton,Drama,69,4,0,3,0.1587
S00226,U2140,2/20/2026,UK,Mobile,Ad Supported,C0127,BoJack Horseman,Comedy,34,1,0,1,0.0221
S00227,U0249,2/27/2026,AU,Mobile,Ad Supported,C0094,Boyfriend on Demand,Comedy,115,4,2,2,0.1714
S00228,U0503,3/13/2026,US,Mobile,Ad Supported,C0083,Boyfriend on Demand,Comedy,32,1,1,1,0.0256
S00229,U2076,1/25/2026,UK,Tablet,Ad Supported,C0032,War Machine,Action,48,4,1,3,0.061
S00230,U0417,2/15/2026,UK,Mobile,Ad Supported,C0116,Queen of Tears,Action,73,4,0,3,0.1112
S00231,U1814,1/24/2026,AU,Mobile,Ad Supported,C0037,Magic and Muscles,Drama,37,2,1,0,0.0589
S00232,U1847,1/17/2026,US,TV,Ad Supported,C0074,Jurassic World Rebirth,Action,140,5,0,5,0.1066
S00233,U0215,2/18/2026,CA,Mobile,Ad Supported,C0072,One Piece,Action,109,4,0,4,0.0684
S00234,U0223,1/22/2026,US,TV,Ad Supported,C0095,The Ranch,Comedy,173,5,0,3,0.1182
S00235,U0502,2/15/2026,CA,Mobile,Ad Supported,C0057,The Diplomat,Comedy,95,4,1,3,0.1535
S00236,U1318,2/7/2026,US,Mobile,Ad Supported,C0039,Seinfeld,Reality,45,3,2,1,0.1128
S00237,U1273,2/27/2026,US,TV,Ad Supported,C0073,Vladimir,Comedy,96,6,1,5,0.1716
S00238,U2231,1/30/2026,US,Tablet,Ad Supported,C0066,Delicious in Dungeon,Action,96,4,1,3,0.065
S00239,U0238,2/8/2026,US,TV,Ad Supported,C0074,Supacell,Action,145,7,2,7,0.25
S00240,U0186,3/1/2026,BR,Web,Ad Supported,C0143,Delicious in Dungeon,Action,105,6,2,4,0.2192
S00241,U1053,1/23/2026,US,Mobile,Ad Supported,C0122,War Machine,Action,105,3,2,1,0.1326
S00242,U1886,3/9/2026,US,TV,Ad Supported,C0020,The Diplomat,Comedy,58,2,0,1,0.0831
S00243,U1686,2/2/2026,US,TV,Ad Supported,C0061,Brooklyn Nine-Nine,Reality,177,8,1,8,0.3327
